Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-01-11,Inner Workings,2016,https://boxd.it/d6eYN,3,,"movie theater, theo, short film",2017-01-09
2017-01-12,Coin Heist,2017,https://boxd.it/d7Vlh,2.5,,"netflix, skype, theo",2017-01-11
2017-01-16,Sing Street,2016,https://boxd.it/deaaF,5,,"netflix, skype, theo",2017-01-15
2017-01-17,Life After Beth,2014,https://boxd.it/dfrjB,2.5,,"filipe, rabbit, online",2017-01-16
2017-01-17,Another Earth,2011,https://boxd.it/dfEkH,2,,"filipe, online, rabbit",2017-01-16
2017-01-18,Jem and the Holograms,2015,https://boxd.it/dgYQP,2.5,,"online, theo",2017-01-17
2017-01-19,The Graduate,1967,https://boxd.it/dhMMX,3.5,,"online, nico",2017-01-18
2017-01-21,Silver Linings Playbook,2012,https://boxd.it/dkDzV,0.5,,"youtube, nico",2017-01-20
2017-01-22,Sing Street,2016,https://boxd.it/dmc9l,5,Yes,"netflix, discord, theo, lorena, filipe, mary, mari, pedro, vinicius",2017-01-21
2017-01-25,Nanny McPhee,2005,https://boxd.it/dq88h,3.5,,"tv, theo",2017-01-24
2017-01-25,The Virgin Suicides,1999,https://boxd.it/dqd11,2,,"theo, online",2017-01-24
2017-01-28,Date Night,2010,https://boxd.it/dtYip,3,,"tv, theo",2017-01-27
2017-01-28,13 Going on 30,2004,https://boxd.it/du6DZ,4.5,Yes,"netflix, nico",2017-01-28
2017-01-29,You Again,2010,https://boxd.it/dvFFD,3.5,,"netflix, theo",2017-01-28
2017-02-01,Wristcutters: A Love Story,2006,https://boxd.it/dzhC9,3,,"online, nico",2017-01-31
2017-02-03,Under the Shadow,2016,https://boxd.it/dBvJd,2.5,,"netflix, filipe",2017-02-02
2017-02-06,Secret Society of Souptown,2015,https://boxd.it/dGt7h,5,,"netflix, theo",2017-02-05
2017-02-07,Ballerina,2016,https://boxd.it/dHsJB,3.5,,"movie theater, theo",2017-02-06
2017-02-08,The Lure,2015,https://boxd.it/dI7xV,4,,"skype, online, michel",2017-02-07
2017-02-08,Neurotic Quest for Serenity,2017,https://boxd.it/dIzWp,4,,movie theater,2017-02-07
2017-02-08,Rings,2017,https://boxd.it/dIJEl,2,,"alcantara, movie theater",2017-02-07
2017-02-08,Very Good Girls,2013,https://boxd.it/dJ1RR,1,,"netflix, mari, sabri, alice",2017-02-08
2017-02-09,Rings,2005,https://boxd.it/dJxJZ,4,,"online, short film",2017-02-08
2017-02-09,Hidden Figures,2016,https://boxd.it/dJJfH,4.5,,"online, mari, filipe, skype",2017-02-08
2017-02-09,Hell or High Water,2016,https://boxd.it/dK2HZ,3,,"online, mari, skype",2017-02-08
2017-02-09,Arrival,2016,https://boxd.it/dKbQ7,5,,"online, mari, skype",2017-02-08
2017-02-10,The Edge of Seventeen,2016,https://boxd.it/dL0rH,4,,"online, skype, lorena",2017-02-09
2017-02-10,Black Swan,2010,https://boxd.it/dLxyh,5,,"netflix, skype, filipe, mari, lorena, sabri",2017-02-09
2017-02-11,Axe: Music of a People,2017,https://boxd.it/dMPNh,4,,"facom, movie theater",2017-02-10
2017-02-11,Moonlight,2016,https://boxd.it/dNwfd,5,,"skype, online, lorena, leo, mary, mari, alice, sabri",2017-02-11
2017-02-12,Manchester by the Sea,2016,https://boxd.it/dOT8B,4.5,,"online, mari, skype",2017-02-11
2017-02-12,Kubo and the Two Strings,2016,https://boxd.it/dQ00B,5,,"online, skype, lorena, mari, alice, sabri, mary",2017-02-12
2017-02-13,Don't Hang Up,2016,https://boxd.it/dRbH9,1,,"online, chris",2017-02-12
2017-02-14,Basic Sanitation: The Movie,2007,https://boxd.it/e06FZ,4,Yes,"netflix, filipe",2017-02-13
2017-02-15,The Lobster,2015,https://boxd.it/e6697,4,,"online, skype, filipe, mari, leo, vitor",2017-02-14
2017-02-15,Never Been Kissed,1999,https://boxd.it/e7Om7,3.5,,"netflix, theo",2017-02-14
2017-02-16,Don't Breathe,2016,https://boxd.it/edTWV,3,,online,2017-02-15
2017-02-17,Nerve,2016,https://boxd.it/ekRXh,3,,"online, theo",2017-02-16
2017-02-18,A Cure for Wellness,2016,https://boxd.it/enUnH,2.5,,movie theater,2017-02-17
2017-02-19,The Mermaid,2016,https://boxd.it/eqbnN,4,,"online, skype, michel",2017-02-18
2017-02-20,The Brothers Grimm,2005,https://boxd.it/ew2NJ,3,,"netflix, rabbit, theo",2017-02-19
2017-02-22,20th Century Women,2016,https://boxd.it/eBZBR,4.5,,"online, skype, mari, gabra, alice, leo",2017-02-20
2017-02-22,Jackie,2016,https://boxd.it/eDTZH,4.5,,"online, skype, mari, gabra, leo, lorena",2017-02-21
2017-02-23,A Date for Mad Mary,2016,https://boxd.it/eF3Th,4.5,,online,2017-02-22
2017-02-23,"Definitely, Maybe",2008,https://boxd.it/eGmJ3,4,,"netflix, rabbit, theo",2017-02-23
2017-02-24,Music and Lyrics,2007,https://boxd.it/eIOSV,4.5,,"online, theo",2017-02-23
2017-02-24,Aquamarine,2006,https://boxd.it/eIOWt,4.5,Yes,"netflix, theo",2017-02-23
2017-02-25,Dark Water,2005,https://boxd.it/eK5HH,2.5,,"netflix, chris",2017-02-24
2017-02-25,Big Hero 6,2014,https://boxd.it/eLarh,3,,"tv, theo",2017-02-24
2017-02-25,Spy Kids,2001,https://boxd.it/eLaxf,3.5,Yes,"tv, theo, mari",2017-02-24
2017-02-25,Spy Kids 2: The Island of Lost Dreams,2002,https://boxd.it/eLHNP,5,Yes,"tv, theo, mari",2017-02-24
2017-02-26,Spy Kids 3-D: Game Over,2003,https://boxd.it/eN2Ff,3,Yes,"tv, theo",2017-02-24
2017-02-26,Wild Child,2008,https://boxd.it/eNbWJ,5,,"rabbit, online, theo, mari",2017-02-25
2017-02-26,XX,2017,https://boxd.it/eOpgT,2,,online,2017-02-25
2017-02-26,Don't Call Me Son,2016,https://boxd.it/eOOdP,2,,"tv, theo",2017-02-26
2017-02-27,Vampires Suck,2010,https://boxd.it/eQmTd,1.5,Yes,"tv, theo, movie theater",2017-02-26
2017-02-27,The SpongeBob SquarePants Movie,2004,https://boxd.it/eRQZx,5,Yes,"tv, theo",2017-02-26
2017-02-28,I Don't Feel at Home in This World Anymore,2017,https://boxd.it/eSRKF,3.5,,"netflix, skype, lorena",2017-02-26
2017-02-28,La La Land,2016,https://boxd.it/eUhYP,2,,"theo, movie theater",2017-02-27
2017-03-01,D.E.B.S.,2004,https://boxd.it/eWoPp,5,Yes,"rabbit, theo, giulio, leo, lorena",2017-02-28
2017-03-01,Suspiria,1977,https://boxd.it/eWZMx,4.5,,"online, rabbit, giulio, mari, lorena, leo",2017-02-28
2017-03-02,The Adventures of Sharkboy and Lavagirl,2005,https://boxd.it/eYIj3,2,Yes,"tv, theo, lorena",2017-03-01
2017-03-02,Mistress America,2015,https://boxd.it/eZBsp,4,,"online, rabbit, mari, leo, lorena",2017-03-01
2017-03-03,Who Killed Eloá?,2015,https://boxd.it/f0VNT,4,,"rabbit, online, giulio, leo, sabri, mari, lorena, gugalo",2017-03-01
2017-03-03,Confessions of a Shopaholic,2009,https://boxd.it/f0QiB,3.5,,"netflix, lorena, leo, mari, gabra",2017-03-02
2017-03-03,Sleepover,2004,https://boxd.it/f1FFr,5,Yes,"online, rabbit, theo, lorena, mari, gabra, leo",2017-03-02
2017-03-04,The Club of the Misunderstood,2014,https://boxd.it/f4PR9,3,,"netflix, online, theo, leo, giulio, gabra, mari",2017-03-03
2017-03-06,Truth or Dare,2012,https://boxd.it/f9WeN,3,,"netflix, chris",2017-03-04
2017-03-06,Smiley Face,2007,https://boxd.it/fahJn,4,,"online, rabbit, mari, leo, gabra",2017-03-05
2017-03-07,Red Balloon,2010,https://boxd.it/fcvu1,1,,"rabbit, leo, mari, short film",2017-03-06
2017-03-07,"It's Not You, It's Me",2013,https://boxd.it/fcxUl,5,Yes,"rabbit, leo, mari, short film",2017-03-07
