Date,Name,Year,Letterboxd URI,Rating
2016-10-29,White Chicks,2004,https://boxd.it/1SpK,4
2016-10-29,Ginger Snaps,2000,https://boxd.it/1XEg,4
2016-10-30,The Conjuring 2,2016,https://boxd.it/7GJg,3
2016-11-01,Dead End,2003,https://boxd.it/1TRK,2.5
2016-11-06,American Reflexxx,2015,https://boxd.it/bato,4.5
2016-11-08,Scream,1996,https://boxd.it/24EC,5
2016-11-19,Lemony Snicket's A Series of Unfortunate Events,2004,https://boxd.it/1T7s,4.5
2016-11-21,Julie & Julia,2009,https://boxd.it/1wXg,3
2016-11-22,The Kids Are All Right,2010,https://boxd.it/13f0,3
2016-11-30,I Killed My Mother,2009,https://boxd.it/1ubO,3.5
2016-12-10,Little Sister,2016,https://boxd.it/dgaG,3
2016-12-10,Sanjay's Super Team,2015,https://boxd.it/bA6A,3
2016-12-12,The Little Rascals,1994,https://boxd.it/1V8i,3
2017-01-02,Going the Distance,2010,https://boxd.it/16Pq,3
2017-01-03,Puella Magi Madoka Magica the Movie Part III: Rebellion,2013,https://boxd.it/6kx6,4
2017-01-03,Puella Magi Madoka Magica the Movie Part I: Beginnings,2012,https://boxd.it/4Nam,4
2017-01-03,Puella Magi Madoka Magica the Movie Part II: Eternal,2012,https://boxd.it/4Naw,4
2017-01-05,Train to Busan,2016,https://boxd.it/dSQU,4
2017-01-06,Sixteen Candles,1984,https://boxd.it/1MJk,2
2017-01-07,Emelie,2015,https://boxd.it/aLiA,3.5
2017-01-10,Moana,2016,https://boxd.it/8tfY,4.5
2017-01-11,Inner Workings,2016,https://boxd.it/ejs6,3
2017-01-12,Coin Heist,2017,https://boxd.it/fd4u,2.5
2017-01-16,Sing Street,2016,https://boxd.it/cOo6,5
2017-01-17,Life After Beth,2014,https://boxd.it/7bqM,2.5
2017-01-17,Another Earth,2011,https://boxd.it/rRA,2
2017-01-18,Jem and the Holograms,2015,https://boxd.it/7XXE,2.5
2017-01-19,The Graduate,1967,https://boxd.it/18Im,3.5
2017-01-21,Silver Linings Playbook,2012,https://boxd.it/2TTo,0.5
2017-01-25,Nanny McPhee,2005,https://boxd.it/1Uek,3.5
2017-01-25,The Virgin Suicides,1999,https://boxd.it/28JG,2
2017-01-28,Date Night,2010,https://boxd.it/2l5a,3
2017-01-28,13 Going on 30,2004,https://boxd.it/1X6e,4.5
2017-01-29,You Again,2010,https://boxd.it/16iw,3.5
2017-02-01,Wristcutters: A Love Story,2006,https://boxd.it/1QBY,3
2017-02-03,Under the Shadow,2016,https://boxd.it/d1uG,2.5
2017-02-06,Secret Society of Souptown,2015,https://boxd.it/biQK,5
2017-02-07,Ballerina,2016,https://boxd.it/bpga,3.5
2017-02-08,The Lure,2015,https://boxd.it/d3mE,4
2017-02-08,Neurotic Quest for Serenity,2017,https://boxd.it/cjuW,4
2017-02-08,Rings,2017,https://boxd.it/1NQ2,2
2017-02-08,Very Good Girls,2013,https://boxd.it/2sQW,1
2017-02-09,Hidden Figures,2016,https://boxd.it/dgS4,4.5
2017-02-09,Hell or High Water,2016,https://boxd.it/bfGM,3
2017-02-09,Arrival,2016,https://boxd.it/aNGk,5
2017-02-10,The Edge of Seventeen,2016,https://boxd.it/d5nu,4
2017-02-10,Black Swan,2010,https://boxd.it/Sw0,5
2017-02-11,Axe: Music of a People,2017,https://boxd.it/eQVg,4
2017-02-12,Manchester by the Sea,2016,https://boxd.it/b2L0,4.5
2017-02-12,Kubo and the Two Strings,2016,https://boxd.it/a4wE,5
2017-02-13,Don't Hang Up,2016,https://boxd.it/d2kC,1
2017-02-14,Basic Sanitation: The Movie,2007,https://boxd.it/1oC,4
2017-02-15,The Lobster,2015,https://boxd.it/7tnw,4
2017-02-15,Never Been Kissed,1999,https://boxd.it/1U3c,3.5
2017-02-16,Don't Breathe,2016,https://boxd.it/9yzw,3
2017-02-17,Nerve,2016,https://boxd.it/aJIc,3
2017-02-19,The Mermaid,2016,https://boxd.it/di0S,4
2017-02-20,The Brothers Grimm,2005,https://boxd.it/24kW,3
2017-02-22,20th Century Women,2016,https://boxd.it/bqU6,4.5
2017-02-22,Jackie,2016,https://boxd.it/d6bu,4.5
2017-02-23,A Date for Mad Mary,2016,https://boxd.it/egeg,4.5
2017-02-23,"Definitely, Maybe",2008,https://boxd.it/20eU,4
2017-02-24,Aquamarine,2006,https://boxd.it/1OAE,4.5
2017-02-24,Music and Lyrics,2007,https://boxd.it/1Usw,4.5
2017-02-25,Dark Water,2005,https://boxd.it/1Zou,2.5
2017-02-25,Big Hero 6,2014,https://boxd.it/5rje,3
2017-02-25,Spy Kids,2001,https://boxd.it/1Xcw,3.5
2017-02-25,Spy Kids 2: The Island of Lost Dreams,2002,https://boxd.it/1Yyo,5
2017-02-26,Spy Kids 3-D: Game Over,2003,https://boxd.it/1S7w,3
2017-02-26,Wild Child,2008,https://boxd.it/1P0C,5
2017-02-26,XX,2017,https://boxd.it/9pU6,2
2017-02-26,Don't Call Me Son,2016,https://boxd.it/djN2,2
2017-02-27,Vampires Suck,2010,https://boxd.it/125y,1.5
2017-02-27,The SpongeBob SquarePants Movie,2004,https://boxd.it/1SYq,5
2017-02-27,Moonlight,2016,https://boxd.it/d6bE,5
